state,sensor_a_voltage,sensor_b_voltage,timestamp
DRY,2.6064499999999997,2.67545,2026-01-02T21:17:32.531560
HALF_WET,2.0364875000000002,2.5102,2026-01-02T21:18:57.587576
WET,1.3957625,1.3514875,2026-01-02T21:19:32.333204
